Experiment 1:
--------------------QuadProbeHashTable add() with a bad hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	8878E0	|	6681E-1		8878E-4		6681E-5		8878E-8		-1221E-8
20000	7500E-2	|	5249E-3		3750E-6		2625E-7		1875E-10		-4921E-11
30000	9400E-2	|	6320E-3		3133E-6		2107E-7		1044E-10		5121E-11
40000	7500E-2	|	4906E-3		1875E-6		1226E-7		4688E-11		1083E-10
50000	5500E-2	|	3523E-3		1100E-6		7047E-8		-3064E-11		-7553E-11
60000	6300E-2	|	3969E-3		1050E-6		6615E-8		-9065E-11		3501E-11
70000	7800E-2	|	4846E-3		1114E-6		6923E-8		1289E-10		-2035E-10
80000	5100E-2	|	3131E-3		6375E-7		3914E-8		2423E-11		4101E-11
90000	5100E-2	|	3099E-3		5667E-7		3443E-8		-1041E-10		-2577E-11
100000	7500E-2	|	4515E-3		7500E-7		4515E-8		5319E-11		-4900E-11
110000	7800E-2	|	4658E-3		7091E-7		4234E-8		-9938E-11		-4394E-11
120000	6300E-2	|	3734E-3		5250E-7		3112E-8		4158E-11		4164E-11
130000	5900E-2	|	3473E-3		4538E-7		2672E-8		-2108E-10		-1810E-10
140000	6300E-2	|	3685E-3		4500E-7		2632E-8		-3360E-11		5125E-11
150000	1020E-1	|	5932E-3		6800E-7		3955E-8		9950E-11		5623E-11
160000	1020E-1	|	5900E-3		6375E-7		3688E-8		-6007E-10		7506E-11
170000	1460E-1	|	8403E-3		8588E-7		4943E-8		-1253E-10		-7122E-10
180000	9400E-2	|	5384E-3		5222E-7		2991E-8		-4797E-11		6975E-11
190000	3900E-2	|	2224E-3		2053E-7		1171E-8		2241E-11		2360E-11
200000	6700E-2	|	3805E-3		3350E-7		1902E-8		4980E-11		1045E-10
